;car_id;model_id;location_id;car_number;icon_url
0;7;16;73.0;338;/car-icons/skoda-octavia-black.png
1;83;4;9.0;419;/car-icons/toyota-auris-red.png
2;34;3;10.0;369;/car-icons/skoda-rapid-beige.png
3;29;16;70.0;364;/car-icons/skoda-octavia-black.png
4;9;16;4.0;340;/car-icons/skoda-octavia-black.png
5;584;10;227.0;547;/car-icons/nissan-leaf_2-gray.png
6;12;3;31.0;343;/car-icons/skoda-rapid-silver.png
7;31;3;56.0;366;/car-icons/skoda-rapid-silver.png
8;22;16;70.0;357;/car-icons/skoda-octavia-silver.png
9;35;3;4.0;370;/car-icons/skoda-rapid-black.png
10;8;16;29.0;339;/car-icons/skoda-octavia-beige.png
11;186;10;75.0;523;/car-icons/nissan-leaf_2-silver.png
12;23;16;65.0;358;/car-icons/skoda-octavia-blue.png
14;32;3;59.0;367;/car-icons/skoda-rapid-gray.png
15;21;16;51.0;356;/car-icons/skoda-octavia-blue.png
16;18;16;44.0;353;/car-icons/skoda-octavia-gray.png
17;20;16;37.0;355;/car-icons/skoda-octavia-blue.png
18;6;16;8.0;337;/car-icons/skoda-octavia-beige.png
19;33;3;15.0;368;/car-icons/skoda-rapid-silver.png
20;16;18;39.0;347;/car-icons/skoda-citigo-red.png
21;19;16;4.0;354;/car-icons/skoda-octavia-silver.png
22;36;18;3.0;371;/car-icons/skoda-citigo-red.png
23;37;18;70.0;372;/car-icons/skoda-citigo-red.png
24;185;10;75.0;522;/car-icons/nissan-leaf_2-silver.png
25;617;52;;578;/car-icons/skoda-citigo-blue_metallic.png
26;573;4;69.0;529;/car-icons/toyota-auris-gray.png
27;580;4;64.0;537;/car-icons/toyota-auris-gray.png
28;133;5;12.0;469;/car-icons/toyota-yaris-gray.png
30;79;5;13.0;415;/car-icons/toyota-yaris-red.png
31;55;3;30.0;390;/car-icons/skoda-rapid-gray.png
32;81;5;55.0;417;/car-icons/toyota-yaris-gray.png
33;63;13;52.0;399;/car-icons/peugeot-expert-white.png
34;14;3;74.0;345;/car-icons/skoda-rapid-gray.png
35;50;3;34.0;385;/car-icons/skoda-rapid-blue.png
36;116;15;5.0;452;/car-icons/peugeot-208-black.png
37;68;19;5.0;404;/car-icons/volkswagen-caravelle-silver.png
38;86;5;13.0;422;/car-icons/toyota-yaris-white.png
39;69;19;72.0;405;/car-icons/volkswagen-caravelle-silver.png
40;54;3;5.0;389;/car-icons/skoda-rapid-silver.png
41;87;5;43.0;423;/car-icons/toyota-yaris-white.png
42;139;5;54.0;475;/car-icons/toyota-yaris-gray.png
43;569;10;223.0;541;/car-icons/nissan-leaf_2-gray.png
44;76;5;57.0;412;/car-icons/toyota-yaris-red.png
45;127;7;4.0;463;/car-icons/toyota-rav4-bronze.png
46;40;9;56.0;375;/car-icons/nissan-leaf-white.png
47;77;5;71.0;413;/car-icons/toyota-yaris-red.png
48;64;13;28.0;400;/car-icons/peugeot-expert-white.png
49;183;14;30.0;520;/car-icons/peugeot-expert_long-white.png
50;67;19;30.0;403;/car-icons/volkswagen-caravelle-silver.png
51;141;5;26.0;477;/car-icons/toyota-yaris-red.png
52;88;5;59.0;424;/car-icons/toyota-yaris-white.png
53;581;7;41.0;548;/car-icons/toyota-rav4-silver.png
54;43;3;76.0;378;/car-icons/skoda-rapid-gray.png
55;615;52;;576;/car-icons/skoda-citigo-blue_metallic.png
56;618;52;;579;/car-icons/skoda-citigo-blue_metallic.png
57;57;3;64.0;392;/car-icons/skoda-rapid-beige.png
